City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,songjianghe,42.1859,127.479,-4.88,87,100,3.32,CN,2024-11-21 19:53:02
242,ostersund,63.1792,14.6357,-8.55,86,100,6.69,SE,2024-11-21 19:53:03
243,chonchi,-42.6128,-73.8092,17.78,41,75,1.41,CL,2024-11-21 19:47:21
244,tofol,5.3248,163.0078,29.2,76,99,6.81,FM,2024-11-21 19:42:31
245,iquitos,-3.7481,-73.2472,25.02,94,40,2.57,PE,2024-11-21 19:53:03
246,nizhniy kuranakh,58.8353,125.4869,-16.27,96,100,1.66,RU,2024-11-21 19:53:03
247,vilyuchinsk,52.9306,158.4028,-8.85,79,26,2.97,RU,2024-11-21 19:46:52
248,leava,-14.3,-178.1667,26.96,82,100,6.55,WF,2024-11-21 19:43:02
249,nagqu,31.5,92.0,-6.13,51,57,1.78,CN,2024-11-21 19:53:04
250,tobelo,1.7284,128.0095,26.96,81,100,1.52,ID,2024-11-21 19:50:27
251,zaragoza,41.6561,-0.8773,17.25,46,0,12.86,ES,2024-11-21 19:53:04
252,monte carmelo,-18.7247,-47.4986,27.02,66,77,1.85,BR,2024-11-21 19:53:04
253,lethbridge,49.7,-112.8186,-6.94,79,100,4.63,CA,2024-11-21 19:52:34
254,hobyo,5.3505,48.5268,26.88,78,84,4.16,SO,2024-11-21 19:48:05
255,isiro,2.7739,27.616,21.27,87,93,1.21,CD,2024-11-21 19:51:07
256,kavieng,-2.5744,150.7967,27.74,79,96,5.16,PG,2024-11-21 19:50:54
257,nabire,-3.3667,135.4833,24.2,92,93,1.2,ID,2024-11-21 19:49:16
258,yelizovo,53.1873,158.3805,-8.92,67,0,3.0,RU,2024-11-21 19:53:05
259,iquique,-20.2208,-70.1431,18.98,74,68,2.12,CL,2024-11-21 19:51:49
260,puerto baquerizo moreno,-0.9,-89.6,27.55,54,40,5.14,EC,2024-11-21 19:47:11
261,thinadhoo,0.5333,72.9333,27.8,76,34,5.81,MV,2024-11-21 19:49:46
262,gizo,-8.103,156.8419,28.21,76,100,3.68,SB,2024-11-21 19:53:05
263,chernyshevskiy,63.0128,112.4714,-7.48,96,100,2.64,RU,2024-11-21 19:47:42
264,akonolinga,3.7667,12.25,21.45,68,10,1.3,CM,2024-11-21 19:53:06
265,kenora,49.8167,-94.4337,1.54,86,100,5.14,CA,2024-11-21 19:48:47
266,bafq,31.6128,55.4107,16.96,37,100,2.38,IR,2024-11-21 19:53:06
267,balabac,7.9868,117.0645,27.65,77,87,5.31,PH,2024-11-21 19:53:06
268,say,13.1007,2.3689,25.44,17,5,4.02,NE,2024-11-21 19:53:06
269,yeppoon,-23.1333,150.7333,23.0,82,59,7.2,AU,2024-11-21 19:53:06
270,annau,37.8876,58.516,9.72,76,10,4.12,TM,2024-11-21 19:53:06
271,qoryooley,1.7878,44.53,25.7,79,87,3.2,SO,2024-11-21 19:53:06
272,sakrand,26.1384,68.2736,23.65,48,0,3.57,PK,2024-11-21 19:53:06
273,kyren,51.6828,102.1408,-4.18,70,15,1.05,RU,2024-11-21 19:48:32
274,ta`u,-14.2336,-169.5144,26.76,83,86,9.21,AS,2024-11-21 19:47:08
275,la passe,45.5549,-0.8967,7.04,70,100,9.82,FR,2024-11-21 19:46:24
276,remire-montjoly,4.9167,-52.2667,30.02,70,20,4.63,GF,2024-11-21 19:47:15
277,boda,4.3189,17.4695,23.55,54,38,1.52,CF,2024-11-21 19:53:08
278,tijara,27.9333,76.85,16.37,29,0,0.97,IN,2024-11-21 19:53:08
279,dampit,-8.2116,112.7493,22.31,93,100,1.13,ID,2024-11-21 19:53:09
280,sitka,57.0531,-135.33,2.94,48,0,1.54,US,2024-11-21 19:44:07
281,kavaratti,10.5669,72.642,27.49,78,99,3.43,IN,2024-11-21 19:47:24
282,scone,56.4194,-3.4051,2.7,81,11,3.13,GB,2024-11-21 19:53:10
283,libreville,0.3925,9.4537,26.01,94,75,4.12,GA,2024-11-21 19:53:10
284,jackson,42.4165,-122.8345,8.37,94,100,1.54,US,2024-11-21 19:45:36
285,encruzilhada do sul,-30.5439,-52.5219,19.05,81,100,5.34,BR,2024-11-21 19:50:50
286,kamen'-na-obi,53.7884,81.3423,-1.7,97,100,3.64,RU,2024-11-21 19:53:10
287,misratah,32.3754,15.0925,21.61,68,58,3.68,LY,2024-11-21 19:53:11
288,saudarkrokur,65.7461,-19.6394,-7.93,75,4,2.93,IS,2024-11-21 19:53:11
289,tantou,26.0314,119.5986,15.87,72,75,5.0,CN,2024-11-21 19:53:11
290,arraial do cabo,-22.9661,-42.0278,23.92,100,100,4.63,BR,2024-11-21 19:47:27
291,erdek,40.3996,27.7935,10.15,71,75,4.12,TR,2024-11-21 19:53:11
292,igrim,63.1906,64.4162,-13.87,87,100,2.08,RU,2024-11-21 19:53:12
293,aykol,38.1751,77.2132,4.53,46,58,0.6,CN,2024-11-21 19:53:12
294,patnanungan,14.7833,122.1833,26.68,80,6,6.29,PH,2024-11-21 19:53:12
295,north platte,41.1239,-100.7654,10.04,20,0,3.58,US,2024-11-21 19:53:12
296,hithadhoo,-0.6,73.0833,28.13,76,15,6.33,MV,2024-11-21 19:46:37
297,valentin gomez farias,28.2167,-106.5833,21.31,16,0,2.88,MX,2024-11-21 19:53:13
298,al burayqah,30.4062,19.5739,22.38,49,17,2.82,LY,2024-11-21 19:53:13
299,cedartown,34.0537,-85.255,14.28,35,3,6.44,US,2024-11-21 19:45:20
